???,??,???
result_data,773,result-data-special-3324843
result_data,774,result-data-264145
result_data,775,result-data-normalWord-2119153
result_data,776,result-data-971735
result_data,777,result-data-free-1206080
result_data,778,result-data-free-2333331
result_data,779,result-data-special-2986259
result_data,780,result-data-552679
result_data,781,result-data-downWord-2637056
result_data,782,result-data-downWord-2333331
result_data,783,result-data-free-264145
result_data,784,result-data-special-511037
result_data,785,result-data-downWord-653443
result_data,786,result-data-normalWord-226061
result_data,787,result-data-downWord-2416631
result_data,788,result-data-free-937444
result_data,789,result-data-special-3960820
result_data,790,result-data-upWord-877423
result_data,791,result-data-upWord-2403045
result_data,792,result-data-2333331
result_data,793,result-data-downWord-1168112
result_data,794,result-data-upWord-3789120
result_data,795,result-data-normalWord-653443
result_data,796,result-data-downWord-556533
result_data,797,result-data-special-3789120
result_data,798,result-data-upWord-1351071
result_data,799,result-data-normalWord-3024418
result_data,800,result-data-free-834928
result_data,801,result-data-upWord-914558
result_data,802,result-data-upWord-2071296
result_data,803,result-data-free-1538388
result_data,805,result-data-normalWord-2746869
result_data,806,result-data-free-226061
result_data,807,result-data-downWord-2986259
result_data,808,result-data-767290
result_data,809,result-data-special-2487758
result_data,810,result-data-normalWord-3556707
result_data,811,result-data-normalWord-2075639
result_data,812,result-data-normalWord-2492155
result_data,813,result-data-downWord-3556707
result_data,814,result-data-downWord-672752
result_data,815,result-data-normalWord-2146369
result_data,816,result-data-free-3392338
result_data,817,result-data-upWord-2986259
result_data,818,result-data-upWord-556533
result_data,819,result-data-3324843
result_data,820,result-data-2416631
result_data,821,result-data-free-877423
result_data,822,result-data-upWord-273218
result_data,823,result-data-downWord-653443
result_data,824,result-data-normalWord-2298362
result_data,825,result-data-normalWord-173748
result_data,826,result-data-downWord-511037
result_data,827,result-data-upWord-914558
result_data,828,result-data-3627437
result_data,829,result-data-normalWord-1351071
result_data,830,result-data-special-226061
result_data,831,result-data-upWord-261223
result_data,832,result-data-upWord-2377552
result_data,833,result-data-free-261223
result_data,834,result-data-free-2986259
result_data,835,result-data-free-146131
result_data,836,result-data-upWord-3789120
result_data,837,result-data-upWord-1168112
result_data,838,result-data-1845057
result_data,839,result-data-downWord-877423
result_data,840,result-data-downWord-3273691
result_data,841,result-data-normalWord-834928
result_data,842,result-data-special-264145
result_data,843,result-data-upWord-230996
result_data,844,result-data-upWord-2746869
result_data,845,result-data-special-3960820
result_data,846,result-data-normalWord-653443
result_data,847,result-data-downWord-2162294
result_data,848,result-data-3556707
